supplierId,productCategoryId,supplierName,supplierWebsite,supplierNumber,supplierEmail,supplierAdress,supplierPostcode,countryCode,supplierNote,contactName,contactPosition,contactNumber,contactEmail,accountOpen,accountRefused,accountRefusedDate,accountRefusedReason,isInteresting,isBrand
,,FEMMAS,https://femmas-shop.de/My-account,,,,,,produit et revend les marques : Fonex - et d'autre...,,,,,TRUE,,,,TRUE,
,,FIGOODIES,https://www.figoodies.com/contact.php,,contact@figoodies.com,,,,,,,,,TRUE,,,,TRUE,
,,FIRST SELLER,http://www.firstseller.fr/,,sebastien@firstseller.fr,,,,"C'est pas clair care cela ressemble plus à un site B2B que B2C, mais les prix sont TTC. Bref à contacter",,,,,FALSE,,,,TRUE,
,,FOLIE COSMETIC,https://www.foliecosmetic.com/content/10-espace-pro,,,,,,,,,,,TRUE,,,,TRUE,
,,FOURNISSEUR MEDICAL,http://www.fournisseur-medical.com/,,,,,,,,,,,FALSE,,,,TRUE,
,,FRANCE COIFFURE DIFFUSION,https://www.francecoiffurediffusion.com/connexion-enregistrement.html,,,,,,,,,,,FALSE,,,,TRUE,
,,FRANCE INVENDUS,https://www.france-invendus.com/fr/,,,,,,,,,,,FALSE,,,,TRUE,
,,FREEDOM PET,http://freedompet.com/Our-Partners.htm,,,,,,canada,,,,,FALSE,,,,TRUE,
,,FULLLIGHTTECH,www.fulllighttech.com,,sales@fulllighttech.com,,,,"C'est un genre de PL, l'entreprise est basée à Hong Kong. Mais il ne revende pas leurs produits directement.",,,,,FALSE,,,,TRUE,
,,GARANCIA,http://www.garancia-pharmaciens.com/,,,,,,ne distribue que au pharmacien,,,,,FALSE,,,,TRUE,
,,GATITO,https://fr.gatito.pl/authentication?SubmitCreate&email_create=mail@mail.pl,,kontakt@gatito.pl,,,,Polonais. Travaillent avec eds dropshippers,,,,,FALSE,,,,TRUE,
,,GEMINI,http://www.ge-mini.com/fr/devenez_distributeur.php,,contact@ge-mini.com,,,,distributeur et grossiste,,,,,FALSE,,,,TRUE,
,,GOLIATH,https://www.jeux-goliath.com/a-propos-goliath/,,,,,,,,,,,FALSE,,,,TRUE,
,,GOUIRAN BEAUTÉ,https://www.gouiran-beaute.com/professionnel/,,contact@gouiran.com,,,,,,,,,FALSE,,,,TRUE,
,,GRIFFATI,https://www.griffati.com/en/dropshipping.html?utm_source=ECommerce_Nation&utm_medium=article&utm_campaign=ECN,,desk @ griffati.it,,,,fournisseur vetements Dropshipping,,,,,FALSE,,,,TRUE,
,,GROSSISTE ESOTERIQUE,https://www.grossiste-esoterique.biz/,,,,,,,,,,,FALSE,,,,TRUE,
,,GROSSISTE HYDROPONIQUE,https://www.grossiste-hydroponique.com/,,contact@grossiste-hydroponique.com,,,,,,,,,FALSE,,,,TRUE,
,,GUEULE D'AMOUR,https://www.gueule-damour.com/fr/content/62-espace-professionnel,,contact@gueule-damour.com,,,,sauf la revente en ligne,,,,,FALSE,,,,TRUE,
,,HABA,https://www.haba.de/fr_FR/e/contactez-nous--contactRequest,,,,,,,,,,,FALSE,,,,TRUE,
,,HAPPY HOME PRODUCTS,https://www.happyhomeproducts.nl/contacts/,,info@happyhomeproducts.nl,,,,Grossiste,,,,,FALSE,,,,TRUE,
,,HARIBO,https://www.laboutiqueharibo.fr/haribo-faq#question17,,,,,,,,,,,FALSE,,,,TRUE,
,,HEO,https://www.heo.fr/fr/fr/contact,,info@heo.fr,,,,,,,,,FALSE,TRUE,,,TRUE,
,,HL GROSSHANDEL,https://www.hl-grosshandel.com/contact,,hl-handel@web.de,,,,Figurine Bullyland,,,,,FALSE,,,,TRUE,
,,ICARE DISTRIBUTION,http://catalogue.icare-distribution.com/glisse-urbaine.html,,,,,,"Depuis plus de 20 ans, ICARE distribue des marques premium, représentative du marché et vous offre un large choix de matériel de powerkite, kitesurf, glisse urbaine, d’actions sports, cerfs-volants, jeux de vent, de jeux de plage, d’articles de jonglerie et des arts du cirque.",,,,,FALSE,,,,TRUE,
,,IDEALDOG,,,,,,,,,,,,FALSE,,,,TRUE,
,,IMPACT LIVRES,https://impact-livres.com/boutique.php#,,,,,,,,,,,TRUE,,,,TRUE,
,,JALDÈS,https://www.jaldes.com/fr/laboratoire-jaldes/6/nous-contacter,,contact@jaldes.fr,,,,,,,,,FALSE,,,,TRUE,
,,JBM,https://www.jbm.fr/fr/,,contact@jbm.fr,,,,,,,,,FALSE,TRUE,,"vend en direct sur Amazon, donc pas intéressés. Mais seront ok si on a un site spécialisé",TRUE,
,,JJA,http://www.jja-sa.fr/mentions-legales,,,,,,,,,,,FALSE,,,,TRUE,
,,JONOTOYS,https://www.jonotoyswebshop.nl/index.php?route=information/contact,,,,,,,,,,,FALSE,,,,TRUE,
,,JOUET DE REVE,http://jouetdereve.com/modules/reseller/retailer.php,,,,,,,,,,,FALSE,,,,TRUE,
,,K9,,,,,,,,,,,,FALSE,,,,TRUE,
,,KÄRCHER,https://www.kaercher.com/fr/a-propos/l-entreprise/espace-fournisseurs.html,,,,,,,,,,,FALSE,,,,TRUE,
,,KHAN INTERNATIONAL,https://www.khanfood.com/branded,,info@khanfood.com,,,,,,,,,FALSE,,,,TRUE,
,,KONG,https://www.kongcompany.com/en-uk/authorised-online-program-retailers,,applyforauthorisation@kongcompany.com,,,,,,,,,FALSE,,,,TRUE,
,,KOOISTRA,https://kooistra.com/,,,,,,,,,,,FALSE,,,,TRUE,
,,LA BEAUTÉ PRO,https://www.labeautepro.fr/contactez-nous/,,,,,,,,,,,FALSE,,,,TRUE,
,,LA PLTAEFORME DU COIFFEUR,http://www.laplateformeducoiffeur.com/,,,,,,,,,,,FALSE,,,,TRUE,
,,LABORATOIRE AGECOM,http://www.laboratoire-agecom.fr/,,,,,,demande de création de site faite,,,,,FALSE,,,,TRUE,
,,LC3 U10,https://u10.com/mentions-legales/,,,,,,"société cotée en bourse - Leur 3 marques sont vendues par Amazon, aucun vendeur FBA",,,,,FALSE,,,,TRUE,
,,LE VRAI,,,,,,,,,,,,FALSE,,,,TRUE,
,,LEGLER,https://www.legler-online.com/fr/sortiment-marken,,service.f@legler-online.com,,,,Marque Small foot,,,,,FALSE,,,,FALSE,
,,LEIFERANTEN,https://www.lieferanten.de/,,,,,,,,,,,FALSE,,,,TRUE,
,,LIVCO,https://livco-corsetti.fr/,,,,,,Checker sur les autres marketplace,,,,,FALSE,,,,TRUE,
,,LUXE TOUTOU,https://www.luxetoutou.com/content/106-vente-aux-professionnels,,contact@luxetoutou.com,,,,,,,,,FALSE,,,,TRUE,
,,MAJUSCULE,https://www.majuscule.fr/rejoignez-nous,,Service.developpement@majuscule.com,,,,,,,,,FALSE,,,,TRUE,
,,MATRIX,https://espacepro.matrixprofessional.fr/login/?current-section=contact-form,,,,,,,,,,,FALSE,,,,TRUE,
,,MAXILIVRES,https://maxilivres.fr/achat/,,pascal.danna@maxilivres.fr,,,,pas de catalogue Excel,,,,,TRUE,,,,TRUE,
,,MELISANA PHARMA,https://www.melisanapharma.fr/contact.php,,contact@melisana-pharma.fr,,,,,,,,,FALSE,,,,TRUE,
,,MGD NATURE,https://mgdnature.com/revendeurs-mgd-nature/devenir-revendeur/,,contact@mgdnature.com,,,,"vendu uniquement par AMZ, et pas beaucoup de vente. Pourquoi pas essayer plus tard, pour avoir quelques articles qui s'écoulent plus lentement. En tous cas c'est pas pour maintenant.",,,,,FALSE,,,,FALSE,
,,MIAMLAND,www.miamland.com,,,,,,"Pas de fichier Excel, je dois vérifier manuellement - Wahen gère la partie commercial - Je peux scrapper les codes EAN sur leur site",,,,,TRUE,,,,TRUE,
,,MILLE PRODUITS,https://www.milleproduits.com/,,savmilleproduits@gmail.com,,,,,,,,,FALSE,,,,TRUE,
,,MORIN,https://www.morinfrance.com/,,contact@morinfrance.com,,,,"Ils vendent eux même aux particuliers donc à voir, mais il semble qu'ils aient une très large sélection.",,,,,FALSE,,,,TRUE,
,,MOROCCANOIL,https://www.moroccanoil.com/fr/help#tab0,,info@moroccanoil,,,,,,,,,FALSE,,,,TRUE,
,,MOULIN ROTY,https://www.moulinroty.com/fr/devenir-distributeur/,,alice@moulinroty.fr,,,,,,,,,FALSE,,,,TRUE,
,,MR NET,https://www.mrnet.fr/contact/,,,,,,doit être contacté par téléphone,,,,,FALSE,,,,TRUE,
,,MYDESTOCKAGE,http://mydestockage.com/content/2-mentions-legales,,,,,,"C'est la même société que celui du dessus, mais 2 site internet différent, vois plus, je comprends pas l'idée. Peut être qu'ils essayent de submerger le marché",,,,,FALSE,,,,TRUE,
,,NEOTILUS,http://b2b.neotilus.fr/collecta--4.aspx,,,,,,aucun produits intéressants au 10/04/2020,,,,,FALSE,,,,FALSE,
,,NERABI,https://nerabi.de/kontakt-anfahrt/,,,,,,"Allemands. Je ne vois que 2 produits Nerabi sur AMZ, mais ils sont prometteur, donc à voir",,,,,FALSE,,,,TRUE,
,,NHCO,https://nhco-nutrition.com/france/contact/,,,,,,,,,,,FALSE,,,,TRUE,
,,NORIA DISTIBUTION,https://www.noria-distribution.com/contacter-noria-distribution/,,,,,,Apparement c'est un acteur très important,,,,,FALSE,,,,TRUE,
,,NOVA ENGEL,https://b2b.novaengel.com,,ecommerce@novaengel.com,,,,,,,,,FALSE,,,,TRUE,
,,NOZA DISTRIBUTION,https://www.nozadis.com/,,,,,,articles fumeur,,,,,FALSE,,,,TRUE,
,,NSDA,https://www.nsdafrance.com/PBCPPlayer.asp?ID=2009685,,nsda.france@orange.fr,,,,,,,,,FALSE,,,,TRUE,
,,O BARBER SHOP,https://www.obarbershop.com/shop/pro/connexion,,gentleman@obarbershop.com,,,,,,,,,FALSE,,,,TRUE,
,,OLA BAMBOO,https://olabamboo.com/pourquoi-acheter/,,,,,,marque de produit en Bambo (PL),,,,,FALSE,,,,TRUE,
,,OSMA,https://www.osma-werm.com/fr_FR/francais-demande-de-catalogue,,,,,,,,,,,TRUE,,,,TRUE,
,,OSTER,,,,,,,,,,,,FALSE,,,,TRUE,
,,OSTOCK13,http://www.ostock13.fr/,,ostock13@bbox.fr,,,,,,,,,FALSE,,,,TRUE,
,,PET PRODUCTS,https://www.petproducts.co.uk/contentpage/new-account-application,,sales@petproducts.co.uk,,,,,,,,,FALSE,,,,TRUE,
,,PETSAFE,https://intl.petsafe.net/fr-fr/about-us,,,,,,,,,,,FALSE,,,,TRUE,
,,PILOT STATION,https://www.pilots-station.com/espaceDistributeur.php,,,,,,,,,,,FALSE,,,,TRUE,
,,PIPINATO,https://pipinato.com/en/manufacturers.html,,,,,,Grossiste Italien chaussure,,,,,FALSE,,,,TRUE,
,,PLANETE JOUETS,https://www.planetejouets.com/11-jeux-de-societe,,contact@planetejouets.com,,,,,,,,,FALSE,,,,TRUE,
,,PLAQUE OFF,http://www.buccosante.eu/,,,,,,,,,,,FALSE,,,,TRUE,
,,PLEIN CIEL,http://www.pleinciel.fr/devenir-distributeur.html,,,,,,distributeur important,,,,,FALSE,,,,TRUE,
,,PLENTY GIFTS,http://www.plentygifts.nl/content/8-contactgegevens,,sales@plentygifts.nl,,,,J'ai repéré la marque de puzzle Jumbo. C'est une boîte néerlandaise,,,,,FALSE,,,,FALSE,
,,POLYTRANS,https://www.polytrans.fr/qui-sommes-nous.html,,,,,,"pas de fichier Excel, les prix sur le site sont les mêmes pour particuliers et professionnels, mais je pourrai demander une remise quantitative",,,,,FALSE,,,,TRUE,
,,POSTQUAM,https://www.postquam.com/fr/login?back=my-account,,atencioncliente@postquam.com,,,,Portuguais,,,,,FALSE,,,,TRUE,
,,PRO DUO,https://www.pro-duo.fr/e/qui-sommes-nous.html,,serviceclient.fr@pro-duo.com,,,,,,,,,FALSE,,,,TRUE,
,,PROBEL,https://probel-group.com/fr/nous-contacter,,orders@probel-group.com,,,,grossiste Belge en confiserie,,,,,FALSE,,,,TRUE,
,,PROMIS,https://promis.pl/,,sklep@promis.pl,,,,produits Eldom. Ce sont des Polonais,,,,,FALSE,,,,TRUE,
,,PROVENCE COSMÉTIQUE,https://www.provencecosmetique.fr/contact/,,contact@provencecosmetique.fr,,,,,,,,,FALSE,,,,TRUE,
,,RÉSOLUTIVE,https://www.resolutive.fr/authentification?back=my-account,,info@resolutive.fr,,,,,,,,,FALSE,,,,TRUE,
,,RESTPOSTEN,https://www.restposten-germany.de/shop/Markenartikel:::164.html,,info@restposten-germany.de,,,,grossiste Allemand,,,,,FALSE,,,,TRUE,
,,ROMIAQS,http://www.romiaqs.com/index.html,,info@romiaqs.com,,,,distributeur de la marque HUNTER - aucun produit intéressant sur le MP FR,,,,,FALSE,,,,FALSE,
,,ROYAL CANIN,https://www.royalcanin.com/fr/where-to-buy,,,,,,,,,,,FALSE,,,,TRUE,
,,SAATCHITECH,http://www.saatchitech.com/en/contact.html,,,,,,"Ils ne vendent rien sur la MP française, je n'ai pas vérifié sur les autres. Ça pourrait être une opportunité que de leur proposer de développer ça. Leur marque semble très correcte, je pense que c'est du PL",,,,,FALSE,,,,TRUE,
,,SANITERPEN,,,,,,,,,,,,FALSE,,,,TRUE,
,,SAREF,https://www.saref.fr/connexion?back=my-account,,saref.commande@gmail.com,,,,,,,,,FALSE,,,,TRUE,
,,SAVIC,https://www.savic.be/,,,,,,,,,,,FALSE,,,,TRUE,
,,SIMPLE SOLUTION,http://www.simplesolution.com/about#contact,,,,,,,,,,,FALSE,,,,TRUE,
,,SOLDOO,http://www.soldoo.com/contact/index.html,,poste7@prospectexcel.com,,,,,,,,,FALSE,,,,TRUE,
,,SOLOTOCKS,https://www.solostocks.fr/,,,,,,,,,,,FALSE,,,,TRUE,
,,SOXO,https://soxo.it/,,info@soxo.it,,,,"Polonais. Ils vendent quelques articles sur AMZ FR mais c'est vraiment pas terrible. Marge d'amélioration énorme, je peux proposer mes services.",,,,,FALSE,,,,TRUE,
,,SPORT ASAP,http://www.sportasap.fr/,,,,,,,,,,,FALSE,,,,TRUE,
,,SPORT PULSION,https://sportpulsion.fr/contact/,,info@sportpulsion.fr,,,,,,,,,FALSE,,,,TRUE,
,,SPRENGER,https://www.sprenger.de/en/?,,,,,,"pas intéressant sur FR, à voir sur les autres MP",,,,,FALSE,,,,TRUE,
,,SPZ,https://info.spzfreetrade.es/fr,,,,,,"Espagnol, nombreuses grandes marques",,,,,FALSE,,,,TRUE,
,,STAR LICENSING,http://www.starlicensing.it/,,info@starlicensing.it,,,,"Il faut avoir un compte pour voir leur catalogue, mais ils ont beaucoup d'articles sous licence",,,,,FALSE,,,,TRUE,
,,STOCKLOT,https://www.stocklot.eu/,,,,,,,,,,,FALSE,,,,TRUE,
,,STOCKOVER,,,,,,,,,,,,FALSE,,,,TRUE,
,,STOKOMANI,,,,,,,,,,,,TRUE,,,,TRUE,
,,STORZ BICKEL,https://www.storz-bickel.com/fr/,,info@storz-bickel.com,,,,vaporisateur,,,,,FALSE,,,,TRUE,
,,SUAVECITO,https://wholesale.suavecitopomade.com/,,wholesale@suavecitopomade.com,,,,,,,,,FALSE,,,,TRUE,
,,SUPERBRANDS,https://superbrands.fr/,,contact@superbrands.fr,,,,,,,,,FALSE,,,,TRUE,
,,TESCOMA,http://www.tescoma.co.uk/contactus,,capoani.francesca@tescoma.it,,,,Entreprise basée en angleterre. Je verrai plus tard,,,,,FALSE,,,,TRUE,
,,THE COMPANY OF ANIMALS,https://companyofanimals.co.uk/contact,,contact@wearecoa.com,,,,,,,,,FALSE,,,,TRUE,
,,THORNE,https://www.thorne-europe.com/contact,,,,,,complément alimentaire. Je ne sais pas si ils passent par des revendeurs vraiment.,,,,,FALSE,,,,TRUE,
,,TP-LINK,,,,,,,,,,,,FALSE,,,,TRUE,
,,TRADAKA,https://www.tradaka.com/fr/nous-contacter,,tradcontact@tradaka.com,,,,grossiste et importateur,,,,,TRUE,,,,TRUE,
,,TRAINING DISTRIBUTION,https://pro.training-distribution.com/fr/,,training.distribution@gmail.com,,,,,,,,,FALSE,TRUE,,Les marques qu'ils distribuent leur ont donné pour consigne de ne pas accepter les vendeurs sur marketplace,TRUE,
,,TRENDS 4  CENTS,https://www.trends4cents.de/info/Haendlerportal.html,,b2b@trends4cents.de,,,,marque Beper vendue seulement par AMZ,,,,,TRUE,,,,TRUE,
,,TRIXIE,https://www.trixie.de/heimtierbedarf/fr/reseller/reseller-shop/,,,,,,,,,,,FALSE,,,,TRUE,
,,TSJJ,http://www.tsjj.fr/,,tsjj@wanadoo.fr,,,,"Pas de catalogue au format Excel, je dois checker manuellement",,,,,TRUE,,,,TRUE,
,,UN CHIEN DANS LE MARAIS,https://unchiendanslemarais.com/pro/fr/mon-compte,,info@ucdlm.com,,,,,,,,,FALSE,,,,FALSE,
,,VAG DISTRIBUTION,http://www.vagdistri.com/contact/,,,,,,,,,,,FALSE,,,,TRUE,
,,VCA TEXTIL,https://vca-textil.de/epages/41c75ccf-34ef-4a10-862b-e1564d386812.sf/de_DE/?ObjectPath=/Shops/41c75ccf-34ef-4a10-862b-e1564d386812/Categories/MARKEN,,info@vca-textil.de,,,,,,,,,FALSE,,,,TRUE,
,,VERLINA,https://www.verlina.com/content/12-professionnels,,,,,,,,,,,FALSE,,,,TRUE,
